HDG;PITCH;ROLL;ALT;EW_POS;NS_POS
-87.27 ; 17.46 ; 1.96 ; 1187.1951904296875 ; 3287.234375 ; 3917.708984375
-87.22 ; 17.55 ; 2.01 ; 1188.431884765625 ; 3293.14453125 ; 3917.361328125
-87.19 ; 17.52 ; 2.07 ; 1189.6748046875 ; 3298.96875 ; 3917.1875
-87.16 ; 17.46 ; 2.14 ; 1190.924072265625 ; 3304.7919921875 ; 3916.9267578125
-87.13 ; 17.35 ; 2.2 ; 1192.175537109375 ; 3310.615234375 ; 3916.666015625
-87.1 ; 17.23 ; 2.26 ; 1193.4302978515625 ; 3316.439453125 ; 3916.4052734375
-87.07 ; 17.1 ; 2.32 ; 1194.68408203125 ; 3322.2626953125 ; 3916.14453125
-87.04 ; 16.98 ; 2.39 ; 1195.9356689453125 ; 3328.0859375 ; 3915.8837890625
-86.99 ; 16.86 ; 2.43 ; 1197.18408203125 ; 3333.822265625 ; 3915.6220703125
-86.96 ; 16.77 ; 2.5 ; 1198.4278564453125 ; 3339.646484375 ; 3915.361328125
-86.91 ; 16.76 ; 2.56 ; 1199.6668701171875 ; 3345.3828125 ; 3915.1875
-86.88 ; 16.78 ; 2.64 ; 1200.899658203125 ; 3351.2060546875 ; 3914.9267578125
-86.83 ; 16.83 ; 2.7 ; 1202.126953125 ; 3356.85546875 ; 3914.5791015625
-86.79 ; 16.94 ; 2.76 ; 1203.3511962890625 ; 3362.6796875 ; 3914.318359375
-86.72 ; 17.12 ; 2.82 ; 1204.5706787109375 ; 3368.416015625 ; 3913.970703125
-86.68 ; 17.33 ; 2.9 ; 1205.787841796875 ; 3374.15234375 ; 3913.7099609375
-86.61 ; 17.57 ; 2.98 ; 1207.0050048828125 ; 3379.8017578125 ; 3913.44921875
-86.55 ; 17.81 ; 3.04 ; 1208.2237548828125 ; 3385.4521484375 ; 3913.1015625
-86.49 ; 18.06 ; 3.12 ; 1209.445556640625 ; 3391.1015625 ; 3912.8408203125
-86.43 ; 18.29 ; 3.2 ; 1210.672119140625 ; 3396.837890625 ; 3912.4931640625
-86.36 ; 18.51 ; 3.26 ; 1211.9049072265625 ; 3402.4873046875 ; 3912.3193359375
-86.3 ; 18.73 ; 3.34 ; 1213.1446533203125 ; 3408.05078125 ; 3911.884765625
-86.24 ; 18.94 ; 3.42 ; 1214.3916015625 ; 3413.787109375 ; 3911.6240234375
-86.18 ; 19.17 ; 3.5 ; 1215.64697265625 ; 3419.349609375 ; 3911.2763671875
-86.1 ; 19.37 ; 3.56 ; 1216.9110107421875 ; 3424.9990234375 ; 3911.015625
-86.04 ; 19.56 ; 3.64 ; 1218.1837158203125 ; 3430.5625 ; 3910.5810546875
-85.97 ; 19.69 ; 3.71 ; 1219.46728515625 ; 3436.2119140625 ; 3910.3203125
-85.93 ; 19.66 ; 3.79 ; 1220.76025390625 ; 3441.7744140625 ; 3909.8857421875
-85.86 ; 19.57 ; 3.87 ; 1222.0609130859375 ; 3447.3369140625 ; 3909.5380859375
-85.82 ; 19.43 ; 3.93 ; 1223.367919921875 ; 3452.900390625 ; 3909.1904296875
-85.77 ; 19.26 ; 4.01 ; 1224.6773681640625 ; 3458.3759765625 ; 3908.8427734375
-85.72 ; 19.05 ; 4.07 ; 1225.98828125 ; 3463.9384765625 ; 3908.4951171875
-85.68 ; 18.81 ; 4.15 ; 1227.2967529296875 ; 3469.4140625 ; 3908.1474609375
-85.65 ; 18.54 ; 4.21 ; 1228.6014404296875 ; 3474.890625 ; 3907.712890625
-85.6 ; 18.25 ; 4.28 ; 1229.900634765625 ; 3480.453125 ; 3907.365234375
-85.55 ; 17.97 ; 4.34 ; 1231.1904296875 ; 3485.9287109375 ; 3907.017578125
-85.5 ; 17.66 ; 4.42 ; 1232.4700927734375 ; 3491.404296875 ; 3906.49609375
-85.46 ; 17.34 ; 4.48 ; 1233.7357177734375 ; 3496.880859375 ; 3906.1484375
-85.43 ; 17.03 ; 4.54 ; 1234.9873046875 ; 3502.3564453125 ; 3905.80078125
-85.38 ; 16.72 ; 4.62 ; 1236.222412109375 ; 3507.7451171875 ; 3905.3662109375
-85.33 ; 16.42 ; 4.68 ; 1237.4395751953125 ; 3513.220703125 ; 3905.0185546875
-85.29 ; 16.13 ; 4.76 ; 1238.637939453125 ; 3518.697265625 ; 3904.583984375
-85.22 ; 15.85 ; 4.84 ; 1239.8160400390625 ; 3524.0859375 ; 3904.1494140625
-85.18 ; 15.59 ; 4.92 ; 1240.973876953125 ; 3529.5615234375 ; 3903.6279296875
-85.13 ; 15.33 ; 4.98 ; 1242.1090087890625 ; 3534.9501953125 ; 3903.2802734375
-85.07 ; 15.08 ; 5.06 ; 1243.2230224609375 ; 3540.4267578125 ; 3902.845703125
-85.02 ; 14.84 ; 5.14 ; 1244.313720703125 ; 3545.8154296875 ; 3902.4111328125
-84.96 ; 14.6 ; 5.21 ; 1245.381591796875 ; 3551.2041015625 ; 3901.9765625
-84.9 ; 14.37 ; 5.29 ; 1246.4268798828125 ; 3556.5927734375 ; 3901.5419921875
-84.85 ; 14.14 ; 5.37 ; 1247.4495849609375 ; 3561.982421875 ; 3901.107421875
-84.79 ; 13.91 ; 5.45 ; 1248.4495849609375 ; 3567.37109375 ; 3900.5859375
-84.72 ; 13.69 ; 5.53 ; 1249.426025390625 ; 3572.759765625 ; 3900.1513671875
-84.66 ; 13.47 ; 5.6 ; 1250.3800048828125 ; 3578.2353515625 ; 3899.716796875
-84.6 ; 13.25 ; 5.68 ; 1251.3111572265625 ; 3583.625 ; 3899.2822265625
-84.52 ; 13.04 ; 5.76 ; 1252.218994140625 ; 3588.9267578125 ; 3898.84765625
-84.46 ; 12.84 ; 5.85 ; 1253.1041259765625 ; 3594.3154296875 ; 3898.326171875
-84.4 ; 12.67 ; 5.93 ; 1253.966552734375 ; 3599.7041015625 ; 3897.8916015625
-84.32 ; 12.53 ; 6.01 ; 1254.806396484375 ; 3605.0068359375 ; 3897.3701171875
-84.24 ; 12.41 ; 6.09 ; 1255.6251220703125 ; 3610.3955078125 ; 3896.8486328125
-84.16 ; 12.3 ; 6.18 ; 1256.4228515625 ; 3615.7841796875 ; 3896.3271484375
-84.07 ; 12.22 ; 6.26 ; 1257.200927734375 ; 3621.1728515625 ; 3895.892578125
-83.99 ; 12.16 ; 6.35 ; 1257.9610595703125 ; 3626.6484375 ; 3895.2841796875
-83.9 ; 12.1 ; 6.43 ; 1258.702392578125 ; 3631.951171875 ; 3894.849609375
-83.8 ; 12.05 ; 6.53 ; 1259.4273681640625 ; 3637.2529296875 ; 3894.2412109375
-83.72 ; 12.0 ; 6.6 ; 1260.135986328125 ; 3642.6416015625 ; 3893.7197265625
-83.63 ; 11.95 ; 6.7 ; 1260.8297119140625 ; 3648.0302734375 ; 3893.197265625
-83.54 ; 11.91 ; 6.79 ; 1261.51025390625 ; 3653.419921875 ; 3892.5888671875
-83.44 ; 11.87 ; 6.87 ; 1262.1766357421875 ; 3658.80859375 ; 3892.0673828125
-83.33 ; 11.83 ; 6.96 ; 1262.831298828125 ; 3664.197265625 ; 3891.458984375
-83.24 ; 11.78 ; 7.06 ; 1263.473388671875 ; 3669.4990234375 ; 3890.8505859375
